text,label
The company reported record profits this quarter.,2
Revenue increased by 20% compared to last year.,2
The firm announced a major expansion into Asian markets.,2
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn.,2
The acquisition is expected to boost earnings significantly.,2
Net sales grew to 12.5 million euros from 11.1 million euros.,2
The company raised its full-year profit forecast.,2
Strong demand drove a 15% increase in revenue.,2
The stock hit a 52-week high after the earnings release.,2
The company secured a major contract worth 50 million euros.,2
Dividends per share increased by 10 percent.,2
The firm posted better-than-expected quarterly results.,2
New product launches contributed to strong sales growth.,2
The company successfully refinanced its debt at lower rates.,2
Market share expanded in all key geographies.,2
The board approved a share buyback program.,2
Earnings per share rose sharply to EUR 1.20.,2
The company exceeded analyst expectations for the third consecutive quarter.,2
Operating margins improved significantly year over year.,2
The firm reported a 25% increase in net income.,2
Customer acquisition grew at its fastest pace in five years.,2
The company announced a strategic partnership to drive growth.,2
Cash flow from operations reached a record high.,2
The company returned value to shareholders through increased dividends.,2
Sales volumes increased across all product segments.,2
The company completed the acquisition ahead of schedule.,2
Gross profit margin expanded by 200 basis points.,2
The firm reported strong demand for its flagship product.,2
Annual revenue crossed the one billion euro mark for the first time.,2
The company won a significant government contract.,2
Exports rose by 18% driven by strong overseas demand.,2
The company achieved a significant milestone in profitability.,2
Operating income increased to EUR 45 mn from EUR 38 mn.,2
The firm raised its dividend payout by 12 percent.,2
International sales grew 30% as global expansion accelerated.,2
The company launched a highly successful IPO.,2
Return on equity improved to 18% from 14% last year.,2
The acquisition added EUR 200 mn to annual revenues.,2
The company reported its highest ever quarterly profit.,2
Employee productivity gains contributed to margin improvement.,2
The company received a credit rating upgrade.,2
Net profit rose 22% on the back of strong operational performance.,2
The company successfully entered three new markets this year.,2
Research and development investments yielded a breakthrough product.,2
The firm delivered robust results despite challenging conditions.,2
Order backlog grew by 35% indicating strong future revenues.,2
The company cost reduction program delivered EUR 50 mn in savings.,2
Market capitalization surpassed EUR 2 billion for the first time.,2
Quarterly results beat consensus estimates by a wide margin.,2
The company reported strong free cash flow generation.,2
The company reported a significant decline in revenue.,0
Operating losses widened to EUR 5.2 mn from EUR 2.1 mn.,0
The firm announced layoffs affecting 500 employees.,0
Net loss for the quarter was EUR 12 mn.,0
The company filed for bankruptcy protection.,0
Sales fell sharply due to weak consumer demand.,0
The firm issued a profit warning for the fiscal year.,0
